"ID";"Microscopy_details_name";"Microscope";"Mounting_medium";"Refraction_medium";"Numerical_aperture";"Objective_lens";"Total_magnification";"Pixel size";"Z_stack";"Optical_slice_size"
238;"Lawhorn_2009_LFMdetails";2;52;"Unspecified";;"40X";"Unspecified";;0;"N/A"
239;"Lawhorn_2008_LFMdetails";2;52;"Air";;"40X";"Unspecified";;0;"N/A"
240;"Lee_2002_LFMdetails";2;52;"Unspecified";;"10X";"Unspecified";;0;"N/A"
241;"Leventhal_2002_LFMdetails";2;51;"Oil";"1,4";"100X";"Unspecified";;1;"1"
242;"Leventhal_2002_LFMdetails";2;52;"Unspecified";;"100X";"Unspecified";;1;"1"
243;"Naito_1994_LFMdetails";2;52;"Unspecified";;"100X";"Unspecified";;1;"1"
244;"Lohr_2000_quantitation";2;52;"Unspecified";;"Unspecified";"Unspecified";;0;"N/A"
245;"Luk_2001_LFMdetails";2;51;"Oil";"1,3";"100X";"Unspecified";;0;"N/A"
246;"Smith_2008_LFMdetails";1;52;"Unspecified";;"Unspecified";"Unspecified";;0;"N/A"
247;"Murata_2003_LFMdetails";2;51;"Unspecified";;"Unspecified";"Unspecified";;0;"N/A"
248;"Normand_1987_LFMdetails";2;52;"Unspecified";;"Unspecified";"Unspecified";;0;"N/A"
249;"Peterson_1999_LFMdetails";3;52;"Oil";"1,3";"40X";"Unspecified";;0;"N/A"
250;"Padungchaichot_1999_LFMdetails";2;52;"Unspecified";;"Unspecified";"Unspecified";;0;"N/A"
251;"Petersen_2000_LFMdetails";16;52;"Unspecified";;"Unspecified";"Unspecified";;0;"N/A"
252;"Ramaswamy_2009_LFMdetails";2;52;"Oil";"1,4";"100X";"Unspecified";;0;"N/A"
253;"Ren_2017_LFMdetails";1;52;"Unspecified";;"Unspecified";"Unspecified";;0;"N/A"
254;"Richner_2009_LFMdetails";2;52;"Oil";;"100X";"Unspecified";;0;"N/A"
255;"Robinson_1995_LFMdetails";2;52;"Unspecified";;"Unspecified";"Unspecified";;0;"N/A"
256;"Rymar_2004_LFMdetails";2;51;"Oil";"1,3";"100X";"Unspecified";;0;"N/A"
257;"Salin_1990_LFMdetails";2;116;"Unspecified";;"Unspecified";"Unspecified";;0;"N/A"
258;"Salin_1990b_LFMdetails";13;174;"Unspecified";;"4X";"Unspecified";;0;"N/A"
259;"Samadi_2013_LFMdetails";2;51;"Oil";"1,4";"100X";"Unspecified";;0;"N/A"
260;"Saraceno_2012_LFMdetails";2;52;"Unspecified";;"Unspecified";"3600X";;0;"N/A"
261;"Saylor_2006_golgi_LFMdetails";2;120;"Unspecified";;"Unspecified";"Unspecified";;0;"N/A"
262;"Sirinathsinghji_1991_LFMdetails";16;52;"Unspecified";;"Unspecified";"Unspecified";;0;"N/A"
263;"Song_2013_immuno_LFMdetails";2;52;"Unspecified";;"60X";"Unspecified";;0;"N/A"
264;"Song_2013_thio_LFMdetails";2;52;"Unspecified";;"100X";"Unspecified";;0;"N/A"
265;"Suarez_2013_LFMdetails";16;52;"Unspecified";;"Unspecified";"Unspecified";;0;"N/A"
266;"Uehara-Kunugi_1991_LFMdetails";16;52;"Unspecified";;"Unspecified";"Unspecified";;0;"N/A"
267;"Van de Berg_2002_LFMdetails";2;52;"Unspecified";;"Unspecified";"3600X";;0;"N/A"
268;"Zhang_2017_LFMdetails";15;52;"Unspecified";;;;"0,32";1;"2"
269;"Yoshikawa_2010_cvneun_LFMdetails";2;52;"Unspecified";;"Unspecified";"Unspecified";;0;"N/A"
270;"Yoshikawa_2010_immuno_LFMdetails";3;52;"Unspecified";;"Unspecified";"Unspecified";;1;"1"
271;"Yamada_1996_cv_LFMdetails";2;52;"Unspecified";;"20X";"Unspecified";;0;"N/A"
272;"Yamada_1996_NADPH_LFMdetails";2;52;"Unspecified";;"10X";"Unspecified";;0;"N/A"
273;"Yalcin-Cakmakli_2018_LFMdetails";2;51;"Oil";;"100X";"Unspecified";;0;"N/A"
274;"Xu_2007_LFMdetails";2;156;"Unspecified";;"Unspecified";"Unspecified";;0;"N/A"
275;"Zhang_2016_semithin_LFMdetails";2;52;"Unspecified";;"40X";"Unspecified";;0;"N/A"
276;"Zoli_1990_LFMdetails";2;52;"Unspecified";;"Unspecified";"Unspecified";;0;"N/A"
