"ID";"Specimen";"Reporter";"Order";"Concentration";"Time";"Temperature"
519;772;129;"Primary";"1:1000";"12";4
520;773;129;"Primary";"1:1000";"12";4
521;773;67;"Secondary";"1:500";"2";21
522;772;67;"Secondary";"1:500";"2";21
523;771;67;"Secondary";"1:500";"2";21
524;776;51;"Primary";"1:2000";"12";
525;777;51;"Primary";"1:2000";"12";
526;777;167;"Secondary";"1:200";"1";21
527;776;167;"Secondary";"1:200";"1";21
528;780;184;"Primary";"1:100";"24";4
529;780;167;"Secondary";"1:100";"24";4
530;785;71;"Primary";"1:600";;
531;785;167;"Secondary";;;
540;795;184;"Primary";"1:1000";"48";4
541;795;179;"Secondary";"1:200";"1";21
542;799;242;"Primary";"2 ng/ml";"17,5";50
543;800;288;"Primary";"2 ng/ml";"17,5";50
544;798;77;"Primary";"1:1000";"24";4
545;798;78;"Secondary";"1:500";"1,5";
546;802;212;"Primary";"1:20000";"12";4
547;802;179;"Secondary";;;
548;803;213;"Primary";"1:200";"12";4
549;803;179;"Secondary";;;
550;806;214;"Primary";"1:200";"96";4
551;807;215;"Primary";"1:150";"96";4
552;808;216;"Primary";"1:9000";"96";4
553;809;217;"Primary";"1:9000";"96";4
554;810;218;"Primary";"1:9000";"96";4
555;810;179;"Secondary";"1:225";"2";21
556;808;179;"Secondary";"1:225";"2";21
557;807;179;"Secondary";"1:225";"2";21
558;806;179;"Secondary";"1:225";"2";21
559;809;179;"Secondary";"1:225";"2";21
560;820;158;"Primary";;;
561;823;160;"Primary";"2.2*10^-15 mol probe/µl";;
562;839;79;"Primary";"1:200";"12";
563;837;79;"Primary";"1:200";"12";
564;838;79;"Primary";"1:200";"12";
565;838;112;"Secondary";"1:200";"1";
566;837;112;"Secondary";"1:200";"1";
567;839;112;"Secondary";"1:200";"1";
568;848;219;"Primary";"1:500";"12";21
569;849;219;"Primary";"1:500";"12";21
570;849;179;"Secondary";;"2";21
571;848;179;"Secondary";;"2";21
572;882;220;"Primary";"1:1000";"12";
573;883;220;"Primary";"1:1000";"12";
574;884;220;"Primary";"1:1000";"12";
575;885;220;"Primary";"1:1000";"12";
576;886;220;"Primary";"1:1000";"12";
577;887;220;"Primary";"1:1000";"12";
578;888;220;"Primary";"1:1000";"12";
579;889;220;"Primary";"1:1000";"12";
580;890;220;"Primary";"1:1000";"12";
581;891;220;"Primary";"1:1000";"12";
582;892;220;"Primary";"1:1000";"12";
583;893;220;"Primary";"1:1000";"12";
584;894;220;"Primary";"1:1000";"12";
585;895;220;"Primary";"1:1000";"12";
586;896;220;"Primary";"1:1000";"12";
587;897;220;"Primary";"1:1000";"12";
588;898;220;"Primary";"1:1000";"12";
589;899;220;"Primary";"1:1000";"12";
590;900;220;"Primary";"1:1000";"12";
591;901;220;"Primary";"1:1000";"12";
592;882;221;"Secondary";"1:500";"1";
593;883;221;"Secondary";"1:500";"1";
594;884;221;"Secondary";"1:500";"1";
595;885;221;"Secondary";"1:500";"1";
596;886;221;"Secondary";"1:500";"1";
597;887;221;"Secondary";"1:500";"1";
598;888;221;"Secondary";"1:500";"1";
599;889;221;"Secondary";"1:500";"1";
600;890;221;"Secondary";"1:500";"1";
601;891;221;"Secondary";"1:500";"1";
602;892;221;"Secondary";"1:500";"1";
603;893;221;"Secondary";"1:500";"1";
604;894;221;"Secondary";"1:500";"1";
605;895;221;"Secondary";"1:500";"1";
606;896;221;"Secondary";"1:500";"1";
607;897;221;"Secondary";"1:500";"1";
608;898;221;"Secondary";"1:500";"1";
609;899;221;"Secondary";"1:500";"1";
610;900;221;"Secondary";"1:500";"1";
611;901;221;"Secondary";"1:500";"1";
612;925;212;"Primary";"1:1000";"12";4
613;924;212;"Primary";"1:1000";"12";4
614;925;222;"Primary";"10 µg/ml";"12";4
615;924;222;"Primary";"10 µg/ml";"12";4
616;924;223;"Secondary";"1:200";;21
617;925;223;"Secondary";"1:200";;21
618;925;225;"Secondary";"1:200";;21
619;924;225;"Secondary";"1:200";;21
620;936;51;"Primary";"1:1000";"12";4
621;936;186;"Secondary";"1:500";"2";
622;941;226;"Primary";"1:2000";"18";
623;947;227;"Primary";;"16";21
624;948;227;"Primary";;"16";21
625;949;227;"Primary";;"16";21
626;946;227;"Primary";;"16";21
627;947;67;"Secondary";;"3";
628;948;67;"Secondary";;"3";
629;949;67;"Secondary";;"3";
630;946;67;"Secondary";;"3";
631;947;228;"Primary";;"18";21
632;948;228;"Primary";;"18";21
633;949;228;"Primary";;"18";21
634;946;228;"Primary";;"18";21
635;947;170;"Secondary";;"5";
636;948;170;"Secondary";;"5";
637;949;170;"Secondary";;"5";
638;946;170;"Secondary";;"5";
639;951;229;"Primary";"1:5000";"120";4
640;951;230;"Secondary";"1:200";"1,5";21
641;954;231;"Primary";"1:2000";"21";4
642;955;232;"Primary";"1:1000";"21";4
643;953;233;"Primary";"1:50";"21";4
644;953;78;"Secondary";"1:300";"2";21
645;955;167;"Secondary";"1:300";"2";21
646;954;167;"Secondary";"1:300";"2";21
647;957;41;"Primary";"1:1000";"21";
648;961;41;"Primary";"1:2000";"18";
649;963;234;"Primary";"1:500";"120";4
650;963;235;"Primary";"1:1000";"120";4
651;963;166;"Secondary";"1:200";"72";
652;963;236;"Secondary";"1:200";"72";
653;965;237;"Primary";"1:100";"36";4
654;965;238;"Secondary";;"24";4
655;971;237;"Primary";"1:200";;
656;971;239;"Secondary";"1:250";;
657;991;85;"Primary";"1:500";"12";4
658;991;165;"Secondary";"1:150";"1";4
659;991;165;"Secondary";"1:150";"1";
660;993;232;"Primary";;;
661;993;240;"Secondary";;;
662;994;241;"Primary";"(5 × 10^8)c.p.m./µg";"16";42
663;997;242;"Primary";"3–3.5 ng/20µl";"4";50
664;997;243;"Primary";"4ng/µl";"4";50
665;997;46;"Secondary";"1:500";"12";4
666;1003;244;"Primary";"1:20";"12";4
667;1001;245;"Primary";"1:750";"72";4
668;1000;246;"Primary";"1:20000";"12";4
669;1004;247;"Primary";"1:1500";"12";21
670;1005;248;"Primary";"1:1000";"12";21
671;1002;249;"Primary";"1:5000";"12";4
672;1000;67;"Secondary";"1:200";"1,5";21
673;1001;67;"Secondary";"1:200";"1,5";21
674;1003;67;"Secondary";"1:200";"1,5";21
675;1002;167;"Secondary";"1:200";"1,5";21
676;1004;167;"Secondary";"1:200";"1,5";21
677;1005;167;"Secondary";"1:200";"1,5";21
678;1007;212;"Primary";"1:1000";"16";4
679;1007;222;"Primary";"10 µg/ml";"16";4
680;1007;223;"Secondary";"1:200";"2";21
681;1007;250;"Secondary";"1:200";"2";21
682;1009;212;"Primary";"1:1000";"12";4
683;1009;222;"Primary";"10 µg/ml";"12";4
684;1009;223;"Secondary";"1:200";;21
685;1009;250;"Secondary";"1:200";;21
686;1011;251;"Primary";"1:800";"24";
687;1011;252;"Secondary";"1:200";"1,2";
688;1011;253;"Primary";"1:5000";"48";21
689;1011;254;"Secondary";"1:500";"1,2";21
690;1013;251;"Primary";"1:800";"24";
691;1013;252;"Secondary";"1:200";"1,2";
692;1013;253;"Primary";"1:5000";"48";21
693;1013;254;"Secondary";"1:500";"1,2";21
694;1017;255;"Primary";"1:80000";"48";4
695;1016;256;"Primary";"1:4000";"48";4
696;1015;257;"Primary";"1:40000";"48";4
697;1015;179;"Secondary";"1:200";"1,5";
698;1016;179;"Secondary";"1:200";"1,5";
699;1017;179;"Secondary";"1:200";"1,5";
700;1019;258;"Primary";"1:20000";"48";
701;1019;179;"Secondary";;"1";
702;1023;59;"Primary";"1:1500";"48";
703;1023;167;"Secondary";"1:300";"1";21
704;1025;259;"Primary";"1:5000";"12";
705;1025;112;"Secondary";"1:200";;
706;1031;260;"Primary";"1:400";"12";4
707;1032;97;"Primary";"1:200";"12";4
708;1032;133;"Secondary";"1:200";;
709;1031;261;"Secondary";"1:200";;
710;1036;65;"Primary";"1:2500";;
711;1036;36;"Secondary";;;
712;1056;262;"Primary";"20 x 10^4 cpm";"12";40
713;1059;215;"Primary";"1:250";;
714;1059;263;"Secondary";;;
715;1060;264;"Primary";"1:2000";;
716;1060;265;"Secondary";;;
717;1062;266;"Primary";"1:4000";"24";4
718;1062;167;"Secondary";"1:400";"2";
719;1064;267;"Primary";;;
720;1064;268;"Primary";;;
721;1066;251;"Primary";"1:1000";"48";4
722;1066;179;"Secondary";"1:200";"1";
723;1068;272;"Primary";"1:100";"48";4
724;1068;269;"Primary";"1:100";"48";4
725;1068;270;"Secondary";"1:500";"2";21
726;1068;271;"Secondary";"1:500";"2";21
727;1085;79;"Primary";"1:1000";"48";4
728;1085;67;"Secondary";"1:200";"2";21
729;1088;273;"Primary";"1:500";"48";4
730;1088;167;"Secondary";"1:400";"0,5";21
731;1091;218;"Primary";"1:5000";"15";21
732;1091;133;"Secondary";"1:200";"1";
733;1093;60;"Primary";"1:1500";"12";4
734;1093;70;"Secondary";"1:50";"0,5";21
735;1093;70;"Secondary";"1:50";"0,3";21
736;1095;274;"Primary";"400000 dpm/mg";"3,5";50
737;1101;73;"Primary";"1:10000";"12";4
738;1101;112;"Secondary";"1:300";"2";21
739;1117;275;"Primary";"4 × 10^3 dpm/µl";"12";42
740;1120;38;"Primary";;;
